,llama_random2_accuracy_full.json,mixtral_thematic_top_to_bottom_accuracy_full.json,mixtral_thematic_bottom_to_top_accuracy_full.json,llama_random5_accuracy_full.json,qwen_deepseek_solutions_accuracy_full.json,qwen_random2_accuracy_full.json,qwen_zero_shot_chain_of_thought_accuracy_full.json,mixtral_advanced_accuracy_full.json,mixtral_semantic_random3_accuracy_full.json,qwen_advanced_accuracy_full.json,mixtral_random3_accuracy_full.json,mixtral_semantic_random2_accuracy_full.json,qwen_deepseek_long_types_accuracy_full.json,llama_random4_accuracy_full.json,qwen_semantic_random1_accuracy_full.json,mixtral_semantic_random5_accuracy_full.json,mixtral_semantic_bottom_to_top_accuracy_full.json,llama_thematic_top_to_bottom_accuracy_full.json,llama_advanced_accuracy_full.json,llama_semantic_random5_accuracy_full.json,qwen_random3_accuracy_full.json,mixtral_random5_accuracy_full.json,qwen_thematic_random5_accuracy_full.json,qwen_semantic_random3_accuracy_full.json,mixtral_random2_accuracy_full.json,mixtral_thematic_random1_accuracy_full.json,mixtral_thematic_random3_accuracy_full.json,qwen_thematic_random4_accuracy_full.json,qwen_semantic_random4_accuracy_full.json,qwen_base_accuracy_full.json,mixtral_base_accuracy_full.json,qwen_semantic_random5_accuracy_full.json,llama_deepseek_long_types_accuracy_full.json,qwen_semantic_random2_accuracy_full.json,llama_random3_accuracy_full.json,mixtral_deepseek_long_types_accuracy_full.json,mixtral_zero_shot_chain_of_thought_accuracy_full.json,qwen_random5_accuracy_full.json,mixtral_random1_accuracy_full.json,llama_thematic_random3_accuracy_full.json,llama_thematic_random2_accuracy_full.json,qwen_semantic_bottom_to_top_accuracy_full.json,qwen_thematic_random1_accuracy_full.json,llama_deepseek_solutions_accuracy_full.json,mixtral_thematic_random5_accuracy_full.json,qwen_thematic_bottom_to_top_accuracy_full.json,mixtral_deepseek_short_types_accuracy_full.json,qwen_thematic_random3_accuracy_full.json,llama_base_accuracy_full.json,mixtral_random4_accuracy_full.json,qwen_random1_accuracy_full.json,llama_semantic_random3_accuracy_full.json,mixtral_deepseek_solutions_accuracy_full.json,llama_deepseek_short_types_proper_prompt_accuracy_full.json,llama_thematic_random5_accuracy_full.json,qwen_random4_accuracy_full.json,llama_semantic_random4_accuracy_full.json,qwen_semantic_top_to_bottom_accuracy_full.json,mixtral_semantic_random4_accuracy_full.json,qwen_deepseek_short_types_proper_prompt_accuracy_full.json,llama_semantic_random2_accuracy_full.json,qwen_deepseek_advanced_max_tokens_1024_accuracy_full.json,llama_semantic_bottom_to_top_accuracy_full.json,mixtral_thematic_random4_accuracy_full.json,llama_thematic_bottom_to_top_accuracy_full.json,llama_deepseek_advanced_accuracy_full.json,qwen_thematic_random2_accuracy_full.json,llama_thematic_random4_accuracy_full.json,mixtral_semantic_random1_accuracy_full.json,qwen_thematic_top_to_bottom_accuracy_full.json,llama_semantic_random1_accuracy_full.json,mixtral_semantic_top_to_bottom_accuracy_full.json,mixtral_thematic_random2_accuracy_full.json,llama_zero_shot_chain_of_thought_accuracy_full.json,mixtral_deepseek_advanced_accuracy_full.json,llama_semantic_top_to_bottom_accuracy_full.json,llama_random1_accuracy_full.json,llama_thematic_random1_accuracy_full.json
0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0.0,0,1,1,1,1,0,1,1,0,0.0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0.0,1,0.0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1.0,0,0,1
1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1.0,1,1,0,1,1,0,1,1,0,0.0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0.0,1,1.0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0.0,1,1,1
2,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0.0,0,0,0,0,1,0,1,1,1,0.0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0.0,1,0.0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0.0,0,0,0
3,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0.0,0,1,1,1,1,1,1,1,0,0.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,1,1.0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1.0,1,1,1
4,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0.0,1,1,0,1,1,0,1,1,0,0.0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0.0,1,1.0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0.0,1,0,1
5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
6,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0.0,0,1,0,1,1,0,1,1,0,0.0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0.0,1,1.0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0.0,1,0,0
7,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1.0,1,1,0,1,1,0,1,1,0,0.0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0.0,1,0.0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0.0,1,0,1
8,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0.0,0,1,1,1,1,1,1,1,0,0.0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0.0,1,1.0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0.0,1,0,1
9,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0.0,0,1,1,1,1,0,0,1,1,0.0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0.0,1,0.0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0.0,1,1,1
